Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Status,Status_Description,Crime_Category,Weapon_desc,Weapon_cd,Mode_cd
1600 N  HARVARD                      BL,34.1001,-118.3043,12/11/2020,12/08/2020,11:00:00,6,Hollywood,649,2,21,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0800 0344 1822 0701
3900    SOMERSET                     DR,34.0153,-118.338,05/17/2022,10/13/2020,00:01:00,3,Southwest,363,2,53,F,J,203,OTHER BUSINESS,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,100
10200    COZYCROFT                    AV,34.2554,-118.5818,06/20/2020,06/20/2020,13:00:00,17,Devonshire,1753,2,39,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Crimes against Public Order,CAPO,CAPO_cd,1601 2004 1501
1200 W  8TH                          ST,34.0496,-118.2677,09/19/2020,09/19/2020,10:00:00,2,Rampart,269,2,43,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0416 0444 0603 0913
1000 S  SANTEE                       ST,34.0378,-118.2561,12/03/2020,12/02/2020,18:00:00,1,Central,185,1,35,M,H,203,OTHER BUSINESS,IC,Invest Cont,Property Crimes,PC,PC_cd,1822 1414 0344 0329 1609
19700    VANOWEN                      ST,34.1938,-118.5623,4/01/2020 ,03/22/2020,12:30:00,21,Topanga,2149,1,42,F,H,402,MARKET,IC,Invest Cont,Property Crimes,PC,PC_cd,344
100 S  HILL                         ST,34.0547,-118.2505,01/14/2020,01/14/2020,16:30:00,1,Central,132,2,27,M,B,916,MTA - PURPLE LINE - CIVIC CENTER/GRAND PARK,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2004 1822 0416 0417 0401 0319 0429 1266 0910 1414
8300    JOAN                         LN,34.2196,-118.6344,01/26/2020,01/26/2020,11:30:00,21,Topanga,2102,2,20,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0377 0930 1822
2700 N  BROADWAY,34.0762,-118.2119,05/16/2020,05/16/2020,15:25:00,4,Hollenbeck,415,1,54,M,H,203,OTHER BUSINESS,IC,Invest Cont,Property Crimes,PC,PC_cd,344
2000    VISTA DEL MAR                AV,34.1071,-118.324,07/14/2020,7/10/2020 ,16:22:00,6,Hollywood,628,2,21,M,W,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Other Crimes,UNKNOWN WEAPON/OTHER WEAPON,500.0,0913 2038
2900 S  REDONDO                      BL,34.0271,-118.3585,05/29/2020,05/29/2020,01:25:00,3,Southwest,312,1,60,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Crimes against Public Order,HAND GUN,102.0,0329 1202 1822
11700    WILSHIRE                     BL,34.0491,-118.4614,12/20/2020,12/06/2020,12:00:00,8,West LA,842,1,48,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,0913 1810 0344
7200    VAN NUYS                     BL,34.2048,-118.4531,07/16/2020,07/16/2020,07:25:00,9,Van Nuys,905,1,39,F,H,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,0358 1307 0344 1300
15600    SIMONDS                      ST,34.2762,-118.4716,6/07/2020 ,6/06/2020 ,21:00:00,17,Devonshire,1718,2,58,M,B,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1241 1300 1813 2000 0913 0416 0443
8100    RESEDA                       BL,34.2148,-118.5404,7/04/2020 ,7/04/2020 ,08:20:00,10,West Valley,1003,2,25,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0400 0416 0913 1814
5200    ALHAMBRA                     AV,34.0736,-118.1724,6/10/2020 ,6/10/2020 ,07:30:00,4,Hollenbeck,438,2,31,F,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 1814 0416 0419
7700 N  LANKERSHIM                   BL,34.2166,-118.3919,06/15/2020,06/14/2020,08:00:00,16,Foothill,1684,1,24,M,H,707,GARAGE/CARPORT,IC,Invest Cont,Property Crimes,PC,PC_cd,344
VENICE                       BL,33.9844,-118.4711,08/13/2020,08/13/2020,01:00:00,14,Pacific,1431,1,27,M,B,102,SIDEWALK,IC,Invest Cont,Property Crimes,UNKNOWN FIREARM,106.0,0302 0342 0355 1822 1309
800    BEACON                       AV,34.0521,-118.2738,11/23/2020,11/23/2020,12:00:00,2,Rampart,266,2,75,M,H,108,PARKING LOT,IC,Invest Cont,Violent Crimes,UNKNOWN WEAPON/OTHER WEAPON,500.0,2000 1814 0416 0446 1202
2600 S  VERMONT                      AV,34.0323,-118.2915,12/09/2020,12/09/2020,17:00:00,3,Southwest,325,2,76,M,B,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,1822 1309 0329 1202 0387
2500    HANCOCK                      ST,34.0755,-118.2092,7/11/2020 ,7/11/2020 ,00:15:00,4,Hollenbeck,415,2,29,M,H,101,STREET,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 0416 0361
4100    MARLTON                      AV,34.0102,-118.3404,11/04/2020,11/04/2020,17:30:00,3,Southwest,363,1,43,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,1822 0344 0394
13200    ERWIN                        ST,34.183,-118.4214,09/21/2020,09/18/2020,13:00:00,9,Van Nuys,939,1,31,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0394
2400 S  SEPULVEDA                    BL,34.0364,-118.4346,07/20/2020,7/01/2020 ,12:00:00,8,West LA,884,2,30,F,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,Crimes against Public Order,VERBAL THREAT,511.0,1912 0421 0432 1402
4400    ARLINGTON                    AV,34.0037,-118.3182,7/03/2023 ,7/03/2020 ,16:20:00,3,Southwest,392,2,46,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0100 1822 0930 0929
3600 N  BROADWAY,34.0738,-118.2025,9/02/2020 ,9/01/2020 ,19:45:00,4,Hollenbeck,424,2,48,F,H,102,SIDEWALK,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1810 0913 0416
4600    KESTER                       AV,34.1546,-118.4574,09/18/2020,9/05/2020 ,13:24:00,9,Van Nuys,974,1,22,M,W,119,"PORCH, RESIDENTIAL",IC,Invest Cont,Property Crimes,PC,PC_cd,394
5700    GOODLAND                     AV,34.2141,-118.4133,10/01/2020,10/01/2020,00:10:00,15,N Hollywood,1502,2,48,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0400 0419 2000 1814
8700    INDEPENDENCE                 AV,34.2282,-118.5907,7/11/2021 ,12/27/2020,00:01:00,17,Devonshire,1781,2,51,M,W,203,OTHER BUSINESS,AA,Adult Arrest,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0930 1822
9800 S  FIGUEROA                     ST,33.9472,-118.2826,5/06/2020 ,5/06/2020 ,22:45:00,18,Southeast,1822,1,41,M,H,101,STREET,IC,Invest Cont,Property Crimes,UNKNOWN FIREARM,106.0,0344 0337 0421 0432 0327 1822 0334
4800    LAUREL CANYON                BL,34.1613,-118.4008,04/15/2020,04/14/2020,23:00:00,15,N Hollywood,1544,1,64,M,H,301,GAS STATION,IC,Invest Cont,Violent Crimes,VERBAL THREAT,511.0,1202 1218 1309 0421 1822 0334
13300    WESTCOVE                     DR,34.0572,-118.4967,12/31/2020,07/18/2020,22:00:00,8,West LA,803,1,38,F,W,710,OTHER PREMISE,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0346
LINCOLN,33.9538,-118.4122,03/14/2020,03/14/2020,18:50:00,14,Pacific,1486,1,40,F,H,158,TRANSIENT ENCAMPMENT,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 0400 1814 0429 2000 2004 1218
NORMANDIE,34.0966,-118.3005,10/17/2020,10/16/2020,22:10:00,11,Northeast,1151,2,58,M,O,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,0329 1300 1609 1822
13400    BROMWICH                     PL,34.2382,-118.4256,09/16/2020,5/08/2020 ,00:42:00,19,Mission,1977,1,35,F,A,101,STREET,AA,Adult Arrest,Violent Crimes,VEHICLE,307.0,1813 0400 2000 0408
DRONFIELD                    ST,34.2754,-118.3904,05/17/2020,05/17/2020,20:00:00,16,Foothill,1615,1,26,M,H,101,STREET,AA,Adult Arrest,Property Crimes,FOLDING KNIFE,204.0,0906 1816 0344 0916 1402
TUXFORD                      ST,34.2173,-118.3835,03/23/2020,03/23/2020,05:00:00,16,Foothill,1685,1,58,M,W,509,MOBILE HOME/TRAILERS/CONSTRUCTION TRAILERS/RV'S/MOTORHOME,IC,Invest Cont,Property Crimes,SAWED OFF RIFLE/SHOTGUN,105.0,1822 0344 1100 0450 0411 1402 1419 1407 0337 1218
2900 W  TEMPLE                       ST,34.0743,-118.2788,3/08/2020 ,3/08/2020 ,08:00:00,2,Rampart,231,1,23,M,H,210,RESTAURANT/FAST FOOD,AA,Adult Arrest,Violent Crimes,KNIFE WITH BLADE 6INCHES OR LESS,200.0,1822 0421 0334 0432 2004 0443
7500    SAUSALITO                    AV,34.2064,-118.6158,11/27/2020,11/27/2020,13:05:00,21,Topanga,2134,2,60,M,O,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0444 0554 1202
9300 S  MAIN                         ST,33.9515,-118.2739,8/06/2020 ,8/06/2020 ,07:40:00,18,Southeast,1822,1,47,M,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Violent Crimes,KNIFE WITH BLADE 6INCHES OR LESS,200.0,1402 2001 0360 0913 0411
4700 W  SUNSET                       BL,34.0982,-118.2918,01/17/2020,01/14/2020,23:30:00,11,Northeast,1151,1,57,M,B,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1300
4900 W  ADAMS                        BL,34.0336,-118.3441,05/26/2020,5/05/2020 ,12:19:00,3,Southwest,305,1,42,M,H,217,AUTO REPAIR SHOP,IC,Invest Cont,Crimes against Public Order,VERBAL THREAT,511.0,0421 0601 1822
ECHANDIA,34.0529,-118.2181,12/07/2020,12/07/2020,06:30:00,4,Hollenbeck,453,2,68,F,H,101,STREET,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1218 0913 0400 0444 0429 1202
9900    VARIEL                       AV,34.25,-118.593,10/04/2020,10/04/2020,15:30:00,17,Devonshire,1752,2,46,F,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0913 0444 1814 0429
4500 S  FIGUEROA                     ST,33.9997,-118.2849,3/02/2020 ,3/02/2020 ,23:15:00,12,77th Street,1208,1,20,X,X,101,STREET,AA,Adult Arrest,Violent Crimes,HAND GUN,102.0,0906 0302 0371 1822 1310
600 S  FIGUEROA                     ST,34.0509,-118.2585,4/04/2020 ,4/04/2020 ,07:15:00,1,Central,152,2,51,M,H,903,MTA - RED LINE - 7TH AND METRO CENTER,IC,Invest Cont,Violent Crimes,UNKNOWN WEAPON/OTHER WEAPON,500.0,0910 0416
400 W  IMPERIAL                     HY,33.9347,-118.2761,07/22/2020,07/18/2020,11:00:00,18,Southeast,1842,1,35,M,B,301,GAS STATION,IC,Invest Cont,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 0344
7900    SELMA                        AV,34.0999,-118.3616,4/01/2020 ,03/31/2020,19:30:00,6,Hollywood,632,2,41,F,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0400 1821 0913
4200 W  PICO                         BL,34.0519,-118.3306,01/15/2020,01/15/2020,01:00:00,7,Wilshire,758,2,19,M,H,203,OTHER BUSINESS,AA,Adult Arrest,Property Crimes,PC,PC_cd,0329 1413 1402
300    MILDRED                      AV,33.9868,-118.469,10/15/2020,10/15/2020,00:01:00,14,Pacific,1431,2,29,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0416 1813 1606
700 E  42ND                         PL,34.0078,-118.2636,11/25/2020,11/25/2020,17:50:00,13,Newton,1344,1,46,M,H,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,HAND GUN,102.0,0302 0334 0421 0602 0554 0913
OXFORD                       AV,34.0517,-118.3074,04/20/2020,04/20/2020,12:30:00,20,Olympic,2053,2,47,M,H,101,STREET,IC,Invest Cont,Crimes against Public Order,VERBAL THREAT,511.0,1822 2004 0432 0421 0202
13200    FIJI                         WY,33.9792,-118.4355,10/24/2020,10/01/2020,15:55:00,14,Pacific,1454,1,29,F,W,707,GARAGE/CARPORT,IC,Invest Cont,Property Crimes,PC,PC_cd,344
1200 W  PACIFIC COAST                HY,33.7904,-118.278,7/10/2020 ,7/09/2020 ,14:00:00,5,Harbor,514,1,66,F,H,221,PUBLIC STORAGE,IC,Invest Cont,Property Crimes,PC,PC_cd,1609 0344 1602 0397
2800    EFFIE                        ST,34.0891,-118.2662,07/24/2020,07/19/2020,19:12:00,11,Northeast,1172,1,50,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,1402 0344 1607
12000 S  VERMONT                      AV,33.9237,-118.2915,4/04/2020 ,4/04/2020 ,12:32:00,18,Southeast,1831,1,29,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0394 1822
1800    OCEAN FRONT                  WK,33.9858,-118.4727,3/09/2020 ,3/05/2020 ,20:05:00,14,Pacific,1431,1,36,M,W,109,PARK/PLAYGROUND,IC,Invest Cont,Property Crimes,PC,PC_cd,344
700 S  WILTON                       PL,34.0595,-118.3143,8/05/2020 ,07/30/2020,08:05:00,20,Olympic,2031,1,28,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1822 0394
VERMONT                      AV,34.04,-118.2916,12/24/2020,12/24/2020,10:00:00,20,Olympic,2076,1,65,M,B,101,STREET,AA,Adult Arrest,Violent Crimes,SEMI-AUTOMATIC PISTOL,109.0,1100 1419 1402 0430 0202 1822 0906
4000    GRIFFIN                      AV,34.0896,-118.2059,5/07/2020 ,5/05/2020 ,15:30:00,4,Hollenbeck,402,1,40,M,O,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 1302 1307
11100    HUSTON                       ST,34.1598,-118.3722,08/27/2020,07/23/2020,12:10:00,15,N Hollywood,1555,2,26,F,V,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0377 0929 0935
3200    LANDA                        ST,34.0953,-118.2691,05/21/2020,3/12/2020 ,03:05:00,11,Northeast,1171,2,35,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0377 1822
800 W  104TH                        PL,33.9415,-118.2911,8/01/2020 ,8/01/2020 ,17:55:00,18,Southeast,1841,1,43,M,B,101,STREET,AA,Adult Arrest,Crimes against Persons,HAND GUN,102.0,1100 1402 1407 0430 1822 1309 1313 0906
1200 N  SOTO                         ST,34.0567,-118.2016,12/13/2020,12/13/2020,22:15:00,4,Hollenbeck,448,2,65,M,B,501,SINGLE FAMILY DWELLING,AO,Adult Other,Crimes against Public Order,CAPO,CAPO_cd,2038
5600    DENNY                        AV,34.1722,-118.3648,3/12/2020 ,3/12/2020 ,06:45:00,15,N Hollywood,1539,1,41,M,H,121,YARD (RESIDENTIAL/BUSINESS),AA,Adult Arrest,Property Crimes,PC,PC_cd,2004 0344
7900    BEVERLY                      BL,34.0782,-118.3695,10/17/2020,10/17/2020,15:50:00,7,Wilshire,711,2,27,F,H,203,OTHER BUSINESS,AO,Adult Other,Property Crimes,PC,PC_cd,0329 1309
VERMONT,33.9892,-118.2915,01/20/2020,01/20/2020,16:35:00,12,77th Street,1218,2,43,F,B,801,MTA BUS,IC,Invest Cont,Property Crimes,PIPE/METAL PIPE,312.0,0910 0329 1307
800 W  41ST                         ST,34.0092,-118.2872,02/16/2020,02/16/2020,18:00:00,3,Southwest,396,1,25,M,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0321 1606
3700 S  FLOWER                       ST,34.0178,-118.2811,3/10/2021 ,9/07/2020 ,12:00:00,3,Southwest,359,1,21,F,W,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0385 1300 1251 1822
5400    BELLINGHAM                   AV,34.1687,-118.3992,2/10/2020 ,2/09/2020 ,18:00:00,15,N Hollywood,1543,1,56,F,W,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,1300 0344 0385
800 W  107TH                        ST,33.9391,-118.2894,4/04/2020 ,4/04/2020 ,21:35:00,18,Southeast,1841,2,52,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0329 1822
PLUMMER                      ST,34.2427,-118.6022,10/04/2020,10/04/2020,10:30:00,17,Devonshire,1761,2,39,F,B,101,STREET,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 1820 1300 0448 0416 0417 2004
400 E  97TH                         ST,33.9483,-118.2674,9/09/2020 ,9/09/2020 ,15:05:00,18,Southeast,1823,2,19,F,H,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Crimes against Public Order,VERBAL THREAT,511.0,1822 0432 1912 0421 0337
6500    INDEPENDENCE                 AV,34.1889,-118.5905,11/23/2020,10/20/2020,09:00:00,21,Topanga,2157,2,20,F,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,1822
3RD                          ST,34.0633,-118.2738,02/21/2020,02/20/2020,21:00:00,2,Rampart,245,1,26,F,B,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 0352 1501
22700    VANOWEN                      ST,34.1937,-118.6212,2/11/2020 ,2/11/2020 ,03:30:00,21,Topanga,2144,2,48,M,W,301,GAS STATION,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,1822 0930
600 N  SPRING                       ST,34.0582,-118.2387,06/25/2023,06/24/2020,22:30:00,1,Central,111,1,28,F,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),IC,Invest Cont,Property Crimes,PC,PC_cd,344
14000    VANOWEN                      ST,34.1939,-118.4382,7/04/2020 ,7/02/2020 ,18:20:00,9,Van Nuys,926,2,23,M,F,203,OTHER BUSINESS,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,416
3900 S  FIGUEROA                     ST,34.014,-118.2827,06/21/2020,06/21/2020,04:30:00,3,Southwest,359,1,19,X,X,401,MINI-MART,IC,Invest Cont,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 0325 0104 0945 0329
11200    DORA                         ST,34.2233,-118.3752,6/04/2020 ,6/03/2020 ,06:00:00,16,Foothill,1687,1,35,F,H,101,STREET,AA,Adult Arrest,Violent Crimes,UNKNOWN WEAPON/OTHER WEAPON,500.0,2000 0416 0913
8900    ORION                        AV,34.2319,-118.472,1/08/2021 ,12/25/2020,09:00:00,19,Mission,1971,1,55,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 1206 0416
3700    CRENSHAW                     BL,34.0209,-118.3406,07/23/2020,07/23/2020,19:45:00,3,Southwest,353,1,19,X,X,403,DRUG STORE,IC,Invest Cont,Property Crimes,PC,PC_cd,0104 0202 0325 1822
900 S  ST ANDREWS                   PL,34.0506,-118.3127,07/22/2020,04/26/2020,20:20:00,20,Olympic,2062,1,31,F,O,123,PARKING UNDERGROUND/BUILDING,IC,Invest Cont,Property Crimes,PC,PC_cd,1822 0358 0344 1609 1307 0352 1221
5600    CLEON                        AV,34.1722,-118.3681,11/16/2020,11/15/2020,18:35:00,15,N Hollywood,1539,2,37,F,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0400 0416 2000
7200    APPERSON                     ST,34.2595,-118.293,02/20/2020,01/23/2020,12:00:00,16,Foothill,1638,2,38,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0100 0377 0930 0928 1822
1000 W  SUNSET                       BL,34.0641,-118.248,04/13/2020,04/13/2020,08:45:00,2,Rampart,219,1,19,X,X,403,DRUG STORE,IC,Invest Cont,Property Crimes,PC,PC_cd,0325 0344 0202 1822
7600    RESEDA                       BL,34.2084,-118.536,10/08/2020,10/06/2020,21:00:00,10,West Valley,1004,2,31,M,H,203,OTHER BUSINESS,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,1822 0935 0930 1300 0330
9500    COMPTON                      AV,33.9507,-118.2461,6/03/2020 ,6/03/2020 ,07:15:00,18,Southeast,1826,1,49,M,O,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Violent Crimes,REVOLVER,101.0,1822 0302 0319 1266 0432 2004
9400    SAN FERNANDO                 RD,34.24,-118.3945,10/02/2020,10/02/2020,15:00:00,16,Foothill,1663,2,33,M,W,102,SIDEWALK,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2004 0416 1822
10100    CAMARILLO                    PL,34.1577,-118.3515,06/19/2020,06/19/2020,10:10:00,15,N Hollywood,1559,2,46,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,2000 0400 0429
12300    CHANDLER                     BL,34.1687,-118.4011,1/03/2021 ,12/19/2020,11:12:00,15,N Hollywood,1543,2,30,M,W,602,BANK,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,377
3400    GRANVILLE                    AV,34.0156,-118.4347,01/13/2020,1/09/2020 ,00:01:00,14,Pacific,1424,1,18,F,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0500 0913 0515 0940 0405
1700    BEVERLY                      BL,34.0647,-118.2658,11/26/2020,11/26/2020,15:30:00,2,Rampart,236,2,28,M,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,1307 0329
BLEDSOE,34.313,-118.4567,3/08/2020 ,3/08/2020 ,16:35:00,19,Mission,1902,1,44,F,H,102,SIDEWALK,AA,Adult Arrest,Property Crimes,PC,PC_cd,1307 0329 0344
WESTERN,34.0617,-118.3091,4/02/2020 ,4/02/2020 ,17:40:00,20,Olympic,2022,1,24,M,H,124,BUS STOP,IC,Invest Cont,Crimes against Public Order,OTHER KNIFE,207.0,1822 0334 0910
200 E  79TH                         ST,33.9679,-118.2717,4/10/2020 ,4/10/2020 ,14:20:00,12,77th Street,1268,1,69,F,H,102,SIDEWALK,IC,Invest Cont,Violent Crimes,UNKNOWN WEAPON/OTHER WEAPON,500.0,1202 1309 0416 0445 1822
6100    MYOSOTIS                     ST,34.122,-118.1854,11/16/2020,11/15/2020,23:40:00,11,Northeast,1127,2,29,M,W,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1814 0416 0913
7500    CRENSHAW                     BL,33.9718,-118.3308,02/21/2020,02/19/2020,09:00:00,12,77th Street,1251,1,73,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,1202 1273
3700    WILSHIRE                     BL,34.0636,-118.3047,07/27/2020,07/27/2020,08:00:00,20,Olympic,2024,2,32,F,H,403,DRUG STORE,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0305 0448 1237 1822
4400 S  WESTERN                      AV,34.0033,-118.3089,7/08/2020 ,7/08/2020 ,13:00:00,12,77th Street,1203,2,43,F,B,108,PARKING LOT,IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,416
5500 W  CENTINELA                    AV,33.9771,-118.3768,05/18/2020,4/01/2020 ,14:00:00,14,Pacific,1469,1,48,F,B,221,PUBLIC STORAGE,IC,Invest Cont,Property Crimes,PC,PC_cd,1607 0344
2400 W  74TH                         ST,33.9728,-118.3221,06/22/2020,06/21/2020,21:00:00,12,77th Street,1252,2,29,F,B,104,DRIVEWAY,AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0913 0416 0401
600 N  MANSFIELD                    AV,34.0819,-118.3406,05/31/2020,05/29/2020,21:20:00,7,Wilshire,706,1,38,M,W,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0344 1609 0342 1309 0382 0321
2200 S  BEVERLY GLEN                 BL,34.05,-118.4202,11/23/2020,11/22/2020,04:03:00,8,West LA,847,2,44,M,W,707,GARAGE/CARPORT,IC,Invest Cont,Fraud and White-Collar Crimes,FWCC,FWCC_cd,0100 0928
5400 W  SUNSET                       BL,34.0981,-118.3071,4/11/2020 ,4/09/2020 ,16:00:00,6,Hollywood,659,2,34,M,H,108,PARKING LOT,IC,Invest Cont,Property Crimes,PC,PC_cd,0429 0209
300 S  HOBART                       BL,34.069,-118.3054,04/13/2020,04/13/2020,17:00:00,20,Olympic,2023,1,20,M,H,501,SINGLE FAMILY DWELLING,AA,Adult Arrest,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0408 0603 0444 0448 0421 0913
